date,close,down,downSize,recovery,redMark,,val
8-Feb-12,2322.11,0,42.14,615,0,,0
9-Feb-12,2325.56,0,42.36,616,0,,0
10-Feb-12,2309.6,0,41.38,617,0,,0
13-Feb-12,2325.81,0,42.37,618,0,,0
14-Feb-12,2324,0,42.26,619,0,,0
15-Feb-12,2312.28,0,41.54,620,0,,0
16-Feb-12,2338.12,0,43.12,621,0,,0
17-Feb-12,2343.67,0,43.46,622,0,,0
21-Feb-12,2345.41,0,43.57,623,0,,0
22-Feb-12,2337.67,0,43.1,624,0,,0
23-Feb-12,2348.11,0,43.74,625,0,,0
24-Feb-12,2352.34,0,43.99,626,0,,0
27-Feb-12,2355.74,0,44.2,627,0,,0
28-Feb-12,2364.03,0,44.71,628,0,,0
29-Feb-12,2353.23,0,44.05,629,0,,0
1-Mar-12,2367.87,0,44.95,630,0,,0
2-Mar-12,2360.28,0,44.48,631,0,,0
5-Mar-12,2351.28,0,43.93,632,0,,0
6-Mar-12,2315.21,0,41.72,633,0,,0
7-Mar-12,2331.89,0,42.74,634,0,,0
8-Mar-12,2355.01,0,44.16,635,0,,0
9-Mar-12,2363.56,0,44.68,636,0,,0
12-Mar-12,2364.1,0,44.71,637,0,,0
13-Mar-12,2407.79,0,47.39,638,0,,0
14-Mar-12,2404.98,0,47.22,639,0,,0
15-Mar-12,2419.37,0,48.1,640,0,,0
16-Mar-12,2422.09,0,48.26,641,0,,0
19-Mar-12,2431.73,0,48.85,642,0,,0
20-Mar-12,2424.46,0,48.41,643,0,,0
21-Mar-12,2420.02,0,48.14,644,0,,0
22-Mar-12,2402.71,0,47.08,645,0,,0
23-Mar-12,2410.16,0,47.53,646,0,,0
26-Mar-12,2443.64,0,49.58,647,0,,0
27-Mar-12,2437.01,0,49.18,648,0,,0
28-Mar-12,2425.55,0,48.48,649,0,,0
29-Mar-12,2421.7,0,48.24,650,0,,0
30-Mar-12,2430.67,0,48.79,651,0,,0
2-Apr-12,2449.08,0,49.92,652,0,,0
3-Apr-12,2439.89,1,49.35,653,1,2464.38,2464.38
4-Apr-12,2415.05,1,47.83,654,1,,2464.38
5-Apr-12,2414.4,1,47.79,655,1,,2464.38
9-Apr-12,2387.03,1,46.12,656,1,,2464.38
10-Apr-12,2346.27,1,43.62,657,1,,2464.38
11-Apr-12,2364.09,1,44.71,658,1,,2464.38
12-Apr-12,2396.69,1,46.71,659,1,,2464.38
13-Apr-12,2366.84,1,44.88,660,1,,2464.38
16-Apr-12,2365.65,1,44.81,661,1,,2464.38
17-Apr-12,2402.29,1,47.05,662,1,,2464.38
18-Apr-12,2392.57,1,46.46,663,1,,2464.38
19-Apr-12,2378.48,1,45.59,664,1,,2464.38
20-Apr-12,2381.32,1,45.77,665,1,,2464.38
23-Apr-12,2361.35,1,44.55,666,1,,2464.38
24-Apr-12,2370.04,1,45.08,667,1,,2464.38
25-Apr-12,2402.71,1,47.08,668,1,,2464.38
26-Apr-12,2418.89,1,48.07,669,1,,2464.38
27-Apr-12,2424.78,1,48.43,670,1,,2464.38
30-Apr-12,2415.42,1,47.86,671,1,,2464.38
1-May-12,2429.1,1,48.69,672,1,,2464.38
2-May-12,2423.29,1,48.34,673,1,,2464.38
3-May-12,2405.17,1,47.23,674,1,,2464.38
4-May-12,2366.39,1,44.85,675,1,,2464.38
7-May-12,2367.26,1,44.91,676,1,,2464.38
8-May-12,2357.45,1,44.31,677,1,,2464.38
9-May-12,2342.31,1,43.38,678,1,,2464.38
10-May-12,2348.93,1,43.79,679,1,,2464.38
11-May-12,2341.23,1,43.31,680,1,,2464.38
14-May-12,2315.45,1,41.74,681,1,,2464.38
15-May-12,2302.56,1,40.95,682,1,,2464.38
16-May-12,2293.21,1,40.38,683,1,,2464.38
17-May-12,2258.93,1,38.28,684,1,,2464.38
18-May-12,2242.25,1,37.26,685,1,,2464.38
21-May-12,2278.24,1,39.46,686,1,,2464.38
22-May-12,2279.4,1,39.53,687,1,,2464.38
23-May-12,2283.36,1,39.77,688,1,,2464.38
24-May-12,2286.87,1,39.99,689,1,,2464.38
25-May-12,2281.92,1,39.68,690,1,,2464.38
29-May-12,2307.57,1,41.25,691,1,,2464.38
30-May-12,2275.19,1,39.27,692,1,,2464.38
31-May-12,2270.25,1,38.97,693,1,,2464.38
1-Jun-12,2214.41,1,35.55,694,1,,2464.38
4-Jun-12,2214.7,1,35.57,695,1,,2464.38
5-Jun-12,2227.45,1,36.35,696,1,,2464.38
6-Jun-12,2279.42,1,39.53,697,1,,2464.38
7-Jun-12,2279.28,1,39.52,698,1,,2464.38
8-Jun-12,2297.82,1,40.66,699,1,,2464.38
11-Jun-12,2268.94,1,38.89,700,1,,2464.38
12-Jun-12,2295.4,1,40.51,701,1,,2464.38
13-Jun-12,2280.13,1,39.57,702,1,,2464.38
14-Jun-12,2304.83,1,41.09,703,1,,2464.38
15-Jun-12,2328.66,1,42.55,704,1,,2464.38
18-Jun-12,2332.07,1,42.75,705,1,,2464.38
19-Jun-12,2355.01,1,44.16,706,1,,2464.38
20-Jun-12,2351.14,1,43.92,707,1,,2464.38
21-Jun-12,2299.16,1,40.74,708,1,,2464.38
