date	close	down	downSize	recovery
26-Dec-12	2492.54	1	52.58	836
27-Dec-12	2489.97	1	52.42	837
28-Dec-12	2462.71	1	50.75	838
31-Dec-12	2504.44	1	53.31	839
2-Jan-13	2568.55	1	57.23	840
3-Jan-13	2563.19	0	56.9	841
4-Jan-13	2575.66	0	57.66	842
7-Jan-13	2567.63	0	57.17	843
8-Jan-13	2560.17	0	56.72	844
9-Jan-13	2567.02	0	57.14	845
10-Jan-13	2586.52	0	58.33	846
11-Jan-13	2586.69	0	58.34	847
14-Jan-13	2584.27	0	58.19	848
15-Jan-13	2587.2	0	58.37	849
16-Jan-13	2588.02	0	58.42	850
17-Jan-13	2602.64	0	59.32	851
18-Jan-13	2611.54	0	59.86	852
22-Jan-13	2623.22	0	60.58	853
23-Jan-13	2627.23	0	60.82	854
24-Jan-13	2627.33	0	60.83	855
25-Jan-13	2641.64	0	61.7	856
28-Jan-13	2636.83	0	61.41	857
29-Jan-13	2650.43	0	62.24	858
30-Jan-13	2640.77	0	61.65	859
31-Jan-13	2634.16	0	61.25	860
1-Feb-13	2660.7	0	62.87	861
4-Feb-13	2630.05	0	60.99	862
5-Feb-13	2657.76	0	62.69	863
6-Feb-13	2659.55	0	62.8	864
7-Feb-13	2655.84	0	62.57	865
8-Feb-13	2670.85	0	63.49	866
11-Feb-13	2669.37	0	63.4	867
12-Feb-13	2673.77	0	63.67	868
13-Feb-13	2676.6	0	63.84	869
14-Feb-13	2678.77	0	63.98	870
15-Feb-13	2676.21	0	63.82	871
19-Feb-13	2696.26	0	65.05	872
20-Feb-13	2662.94	0	63.01	873
21-Feb-13	2646.75	0	62.02	874
22-Feb-13	2670.36	0	63.46	875
25-Feb-13	2621.46	0	60.47	876
26-Feb-13	2637.89	0	61.47	877
27-Feb-13	2672.11	0	63.57	878
28-Feb-13	2669.92	0	63.43	879
1-Mar-13	2676.18	0	63.82	880
4-Mar-13	2688.54	0	64.57	881
5-Mar-13	2714.35	0	66.15	882
6-Mar-13	2718.07	0	66.38	883
7-Mar-13	2723.27	0	66.7	884
8-Mar-13	2735.67	0	67.46	885
11-Mar-13	2744.81	0	68.02	886
12-Mar-13	2738.35	0	67.62	887
13-Mar-13	2742.87	0	67.9	888
14-Mar-13	2758.3	0	68.84	889
15-Mar-13	2753.82	0	68.57	890
18-Mar-13	2738.68	0	67.64	891
19-Mar-13	2732.09	0	67.24	892
20-Mar-13	2750.42	0	68.36	893
21-Mar-13	2727.69	0	66.97	894
22-Mar-13	2747.25	0	68.17	895
25-Mar-13	2738.08	0	67.61	896
26-Mar-13	2760.32	0	68.97	897
27-Mar-13	2758.85	0	68.88	898
28-Mar-13	2770.05	0	69.56	899
1-Apr-13	2757.83	0	68.82	900
2-Apr-13	2772.11	0	69.69	901
3-Apr-13	2743.38	0	67.93	902
4-Apr-13	2754.67	0	68.62	903
5-Apr-13	2742.86	0	67.9	904
8-Apr-13	2761.05	0	69.01	905
9-Apr-13	2770.84	0	69.61	906
10-Apr-13	2804.81	0	71.69	907
11-Apr-13	2815.02	0	72.32	908
12-Apr-13	2807.1	0	71.83	909
15-Apr-13	2742.63	0	67.89	910
16-Apr-13	2781.86	0	70.29	911
17-Apr-13	2742.01	0	67.85	912
18-Apr-13	2723.72	0	66.73	913
19-Apr-13	2747.94	0	68.21	914
22-Apr-13	2760.8	0	69	915
23-Apr-13	2789.56	0	70.76	916
24-Apr-13	2789.93	0	70.78	917
25-Apr-13	2801.28	0	71.48	918
26-Apr-13	2796.24	0	71.17	919
29-Apr-13	2816.39	0	72.4	920
30-Apr-13	2823.42	0	72.83	921
1-May-13	2797.28	0	71.23	922
2-May-13	2823.82	0	72.86	923
3-May-13	2853.88	0	74.7	924
6-May-13	2859.34	0	75.03	925
7-May-13	2874.46	0	75.96	926
8-May-13	2887.61	0	76.76	927
9-May-13	2878.3	0	76.19	928
10-May-13	2890.77	0	76.95	929
13-May-13	2891.17	0	76.98	930
14-May-13	2921.12	0	78.81	931
15-May-13	2936.98	0	79.78	932
16-May-13	2922.4	0	78.89	933
17-May-13	2952.56	0	80.74	934
20-May-13	2950.53	0	80.61	935
21-May-13	2955.69	0	80.93	936
22-May-13	2931.58	0	79.45	937
23-May-13	2923.43	0	78.95	938
24-May-13	2921.88	0	78.86	939
28-May-13	2940.45	0	79.99	940
29-May-13	2920.18	0	78.75	941
30-May-13	2931.39	0	79.44	942
31-May-13	2889.46	0	76.87	943
3-Jun-13	2906.91	0	77.94	944
4-Jun-13	2891.02	0	76.97	945
5-Jun-13	2851.89	0	74.57	946
6-Jun-13	2876.5	0	76.08	947
7-Jun-13	2913.46	0	78.34	948
10-Jun-13	2912.63	0	78.29	949
11-Jun-13	2883.07	0	76.48	950
12-Jun-13	2859.62	0	75.05	951
13-Jun-13	2902.32	0	77.66	952
14-Jun-13	2885.24	0	76.62	953
17-Jun-13	2907.12	0	77.95	954
18-Jun-13	2929.81	0	79.34	955
19-Jun-13	2889.25	0	76.86	956
20-Jun-13	2817.44	0	72.46	957
21-Jun-13	2824.97	0	72.93	958
24-Jun-13	2790.66	0	70.83	959
25-Jun-13	2817.44	0	72.46	960
26-Jun-13	2845.04	0	74.15	961
27-Jun-13	2862.92	0	75.25	962
28-Jun-13	2850.66	0	74.5	963
1-Jul-13	2866.41	0	75.46	964
2-Jul-13	2865.48	0	75.41	965
3-Jul-13	2867.85	0	75.55	966
5-Jul-13	2897.12	0	77.34	967
8-Jul-13	2913.2	0	78.33	968
9-Jul-13	2934.31	0	79.62	969
10-Jul-13	2934.97	0	79.66	970
11-Jul-13	2975.06	0	82.11	971
12-Jul-13	2984.24	0	82.68	972
15-Jul-13	2988.35	0	82.93	973
16-Jul-13	2977.26	0	82.25	974
17-Jul-13	2985.85	0	82.77	975
18-Jul-13	3001.21	0	83.71	976
19-Jul-13	3006.13	0	84.02	977
22-Jul-13	3012.3	0	84.39	978
23-Jul-13	3006.72	0	84.05	979
24-Jul-13	2995.3	0	83.35	980
25-Jul-13	3003.01	0	83.82	981
26-Jul-13	3005.51	0	83.98	982
29-Jul-13	2994.45	0	83.3	983
30-Jul-13	2995.68	0	83.38	984
31-Jul-13	2995.72	0	83.38	985
1-Aug-13	3033.59	0	85.7	986
2-Aug-13	3038.63	0	86	987
5-Aug-13	3034.43	0	85.75	988
6-Aug-13	3017.16	0	84.69	989
7-Aug-13	3006.63	0	84.05	990
8-Aug-13	3019	0	84.8	991
9-Aug-13	3008.79	0	84.18	992
12-Aug-13	3005.42	0	83.97	993
13-Aug-13	3014.43	0	84.52	994
14-Aug-13	2999.42	0	83.6	995
15-Aug-13	2957.08	0	81.01	996
16-Aug-13	2947.46	0	80.42	997
19-Aug-13	2930.27	0	79.37	998
20-Aug-13	2941.58	0	80.06	999
21-Aug-13	2924.73	0	79.03	1000
22-Aug-13	2949.96	0	80.58	1001
23-Aug-13	2962.06	0	81.32	1002
26-Aug-13	2950.13	0	80.59	1003
27-Aug-13	2903.29	0	77.72	1004
28-Aug-13	2911.83	0	78.24	1005
29-Aug-13	2917.96	0	78.62	1006
30-Aug-13	2908.96	0	78.07	1007
3-Sep-13	2921.23	0	78.82	1008
4-Sep-13	2945.62	0	80.31	1009
5-Sep-13	2949.27	0	80.53	1010
6-Sep-13	2949.8	0	80.57	1011
9-Sep-13	2979.45	0	82.38	1012
10-Sep-13	3001.36	0	83.72	1013
11-Sep-13	3010.94	0	84.31	1014
12-Sep-13	3001.62	0	83.74	1015
13-Sep-13	3009.79	0	84.24	1016
16-Sep-13	3026.94	0	85.29	1017
17-Sep-13	3039.75	0	86.07	1018
18-Sep-13	3076.81	0	88.34	1019
19-Sep-13	3071.61	0	88.02	1020
