ticker,id,company,2yr div cagr,2yr cagr stock price ,
CPB,368,CAMPBELL SOUP CO,0,42.33,
L,369,LOEWS CORP,0,11.45,
TMO,370,THERMO FISHER,0,12.43,
TXT,371,TEXTRON INC,0,14.19,
LUK,372,LEUCADIA NATL,0,5.28,
PXD,373,PIONEER NATURAL,0,20.12,
COO,374,COOPER COS INC,0,6.88,
PVH,375,PVH CORP,0,-28.93,
MLM,376,MARTIN MAR MTLS,0,103.67,
AYI,377,ACUITY BRANDS,0,64.34,
EQT,378,EQT CORP,0,-12.95,
SCHW,379,SCHWAB (CHARLES),0,32.32,
TMK,380,TORCHMARK CORP,-1.21,36.58,
DD,381,DU PONT (EI),-1.7,8.83,
DRI,382,DARDEN RESTAURAN,-2.28,47.69,
MRO,383,MARATHON OIL,-2.82,-36.18,
GLW,384,CORNING INC,-3.92,9.98,
A,385,AGILENT TECH INC,-6.65,12.78,
VNO,386,VORNADO RLTY TST,-7.1,1.75,
TGNA,387,TEGNA INC,-7.78,-13.37,
EXC,388,EXELON CORP,-7.84,0.6,
NI,389,NISOURCE INC,-7.97,37.36,
HPQ,390,HP INC,-9.45,-14.41,
PBI,391,PITNEY BOWES INC,-10.56,-33.49,
BXP,392,BOSTON PROPERTIE,-10.9,1.03,
BAX,393,BAXTER INTL INC,-18.67,13.98,
FE,394,FIRSTENERGY CORP,-19.1,-16.15,
PGR,395,PROGRESSIVE CORP,-22.87,37.78,
WYNN,396,WYNN RESORTS LTD,-34.53,-39.9,
CHK,397,CHESAPEAKE ENERG,-50,-63.87,
RIG,398,TRANSOCEAN LTD,-57.74,-16.15,
FCX,399,FREEPORT-MCMORAN,-65.97,-42.31,
NEM,400,NEWMONT MINING,-71.43,78.47,
